[2024-06-14 09:24:50] 127.0.0.1 - GET / HTTP/1.1
[2024-06-14 09:24:52] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 09:24:52] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 09:24:52] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 09:24:53] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 09:24:53] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 09:24:55] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 09:47:51] 127.0.0.1 - GET / HTTP/1.1
[2024-06-14 09:49:29] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 09:49:30] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 09:49:31] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 09:49:31] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 09:49:31] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 10:13:51] 127.0.0.1 - GET / HTTP/1.1
[2024-06-14 10:13:54] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 10:13:54] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 10:13:54] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 10:13:57] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 10:13:57] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 10:14:00] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 10:14:02] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 10:14:02] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 10:14:03] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 10:14:03] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 10:14:03] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 10:15:59] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 10:15:59] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 10:15:59] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 10:16:01] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 10:16:01] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 10:17:50] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 10:17:50] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 10:17:50] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 10:17:53] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 10:17:53] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 10:17:55] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:26] 127.0.0.1 - GET / HTTP/1.1
[2024-06-14 14:45:36] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:36] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:36] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:38] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:39] 127.0.0.1 - GET /technique.html HTTP/1.1
[2024-06-14 14:45:39] 127.0.0.1 - GET /images/l1.gif HTTP/1.1
[2024-06-14 14:45:41] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:41] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:41] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:42] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:51] 127.0.0.1 - GET /miniWeb.html HTTP/1.1
[2024-06-14 14:45:51] 127.0.0.1 - GET /images/n2.jpg HTTP/1.1
[2024-06-14 14:45:51] 127.0.0.1 - GET /videos/Video.mp4 HTTP/1.1
[2024-06-14 14:45:53] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:53] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:53] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:54] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:54] 127.0.0.1 - GET /aaaa.html HTTP/1.1
[2024-06-14 14:45:54] 127.0.0.1 - GET /aaaa.html HTTP/1.1
